类型,谱例编号,图片路径,章节,分组,小节,图注
谱例,12.42,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1554232882_figure_largeshow.jpg,第十二章 调式,12-4 中国风格的旋律,12-4 中国风格的旋律,
谱例,12.41,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1554233053_figure_largeshow.jpg,第十二章 调式,12-4 中国风格的旋律,12-4 中国风格的旋律,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1570820296_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1570820337_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,13.77,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1570820469_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,13.69,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1603269870_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1603269927_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,12.2,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1689875261_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.11,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1689875384_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690775109_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.19 一些音集的音程向量
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690775221_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.20 全音程四音列
谱例,13.11,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690789115_figure_largeshow.jpg,第十三章 现代和声,13-4 全音阶,13-4 全音阶,
谱例,13.78,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690789282_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,13.79,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690789323_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,13.80,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690789455_figure_largeshow.jpg,第十三章 现代和声,13-8 调性中的半音阶（下）,13-8 调性中的半音阶（下）,
谱例,12.5,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690789940_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.15,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690790376_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.16,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690790687_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.17,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690792536_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.21,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690792655_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.19,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1690793150_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.3,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1691113548_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.23,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692552136_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.24,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692552337_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.25,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692552680_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692552768_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692552862_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692553011_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.26,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692553123_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.27,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692553778_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.28,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692553944_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692554018_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692554275_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.29,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692554603_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1692554822_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,11.16,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1693505288_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
谱例,12.8,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1693949232_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.12,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1694568703_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.15,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1694984789_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.20,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1694984964_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.17,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1694985138_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,12.30,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1696285793_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
谱例,11.12,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1696485328_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
谱例,11.38,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074365_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074455_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),图11.56 通过G7的等音转调
谱例,11.39,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074570_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074685_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),图11.57 G7等音关系与调性、功能探究
谱例,11.42,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074779_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
谱例,11.43,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074850_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697074995_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),图11.61 G7♭5的等音关系研究
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075026_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),图11.62 G+7的等音关系研究
谱例,11.46,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075154_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075229_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075391_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075414_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),图11.65 含有增三和弦的七和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075533_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),图11.69 增三和弦与减七和弦的变换网络
谱例,11.62,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075630_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),
谱例,11.61,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697075785_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),
谱例,11.45,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1697076176_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\918938777_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.4 调性五度圈与网格图关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\919145120_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.7 B大调的属调与D♭大调的同名小调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\919145761_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.10 C大调与G大调的共同和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920131890_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.9 转调的距离与方式
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920384635_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.12 C大调到a小调的转调路线图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920384962_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.13 0调到+1调的转调路线图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920385400_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.16 0调到-1调的转调路线图
谱例,11.4,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920385964_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920386720_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.11 C大调到G大调经过Am的转调路线图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920386869_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.8 离调与转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920424816_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.2 属调与下属调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920425286_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.3 同名调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\920425382_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.17 0调到-2调的转调路线图
谱例,11.6,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922340633_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922341297_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.18 C/a调的共同和弦转调范围
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922649916_figure_largeshow.jpg,第十一章 转调,11-2 共同和弦转调,11-2 共同和弦转调,图11.15 0调到+3、+4调的逐渐转调
谱例,11.7,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922897156_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922897209_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.20 C大调通过重属和弦的转调范围
谱例,11.8,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922897464_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922911960_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.22 共同和弦与和声小调的转调网络
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922913738_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.5 相同调式的主音音程与调号关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922917402_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.24 共同和弦、和声小调与爵士小调的综合转调网络
谱例,11.10,E:\Documents\DeepSeeK\harmony-trainer\images\adv\922933168_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\923299977_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.19 重属和弦转调路线举例
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\923301575_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.23 爵士小调大下属和弦的加速转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\923301838_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.26 同名的三种大调与三种小调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\923301968_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.27 交替大小调的完全功能循环
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\923302396_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.28 C大调与c小调常见的共同变和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\924611463_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.21 和声小调大属和弦的加速转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\924969911_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.29 C大调与c小调的和弦交替
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\924970071_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,图11.25 C大调与a小调的近关系调
谱例,11.1,E:\Documents\DeepSeeK\harmony-trainer\images\adv\927116798_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\927116985_figure_largeshow.jpg,第十一章 转调,11-1 大小调总论,11-1 大小调总论,图11.6 牛顿色环与斯克里亚宾的调性色彩
谱例,9.23,E:\Documents\DeepSeeK\harmony-trainer\images\adv\928123129_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\928124509_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.31 ii7-V7-IΔ的模进转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\928254994_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.32 C大调交替c小调的转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\928255065_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,图11.33 a小调交替A大调的转调
谱例,11.17,E:\Documents\DeepSeeK\harmony-trainer\images\adv\929348359_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
谱例,11.16,E:\Documents\DeepSeeK\harmony-trainer\images\adv\929349803_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
谱例,11.15,E:\Documents\DeepSeeK\harmony-trainer\images\adv\929840271_figure_largeshow.jpg,第十一章 转调,11-4 同名转调,11-4 同名转调,
